index,title,filename,notebook,category,eda_stage,category_copy,final_copy,stage_copy
11,Cơ cấu lý do trả hàng giữa đơn promo và không promo,12_return_reason_mix.png,04_customer_and_returns.ipynb,customer_and_returns,diagnostic,/home/lducc/code/datathon/figures/customer_and_returns/12_return_reason_mix.png,/home/lducc/code/datathon/figures/final_figures/12_return_reason_mix.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/12_return_reason_mix.png
12,Xu hướng sức khỏe tồn kho theo DOS qua thời gian,10_dos_trend_over_time.png,03_inventory_and_operations.ipynb,inventory_and_operations,descriptive,/home/lducc/code/datathon/figures/inventory_and_operations/10_dos_trend_over_time.png,/home/lducc/code/datathon/figures/final_figures/10_dos_trend_over_time.png,/home/lducc/code/datathon/figures/final_figures/descriptive/10_dos_trend_over_time.png
13,Giá trị chưa ghi nhận từ hủy đơn và hoàn tiền,14_leakage_unrealized_value.png,02_promotion_and_demand.ipynb,promotion_and_demand,prescriptive,/home/lducc/code/datathon/figures/promotion_and_demand/14_leakage_unrealized_value.png,/home/lducc/code/datathon/figures/final_figures/14_leakage_unrealized_value.png,/home/lducc/code/datathon/figures/final_figures/prescriptive/14_leakage_unrealized_value.png
14,Dải phục hồi doanh thu và GP theo kịch bản kiểm soát leakage,15_leakage_recovery_scenarios.png,02_promotion_and_demand.ipynb,promotion_and_demand,prescriptive,/home/lducc/code/datathon/figures/promotion_and_demand/15_leakage_recovery_scenarios.png,/home/lducc/code/datathon/figures/final_figures/15_leakage_recovery_scenarios.png,/home/lducc/code/datathon/figures/final_figures/prescriptive/15_leakage_recovery_scenarios.png
15,Residual COGS ratio theo thời gian và August anomaly,16_cogs_anomaly_timeline.png,03_inventory_and_operations.ipynb,inventory_and_operations,predictive,/home/lducc/code/datathon/figures/inventory_and_operations/16_cogs_anomaly_timeline.png,/home/lducc/code/datathon/figures/final_figures/16_cogs_anomaly_timeline.png,/home/lducc/code/datathon/figures/final_figures/predictive/16_cogs_anomaly_timeline.png
16,Tác động sang tháng sau theo regime COGS hiện tại,17_cogs_regime_next_month.png,03_inventory_and_operations.ipynb,inventory_and_operations,predictive,/home/lducc/code/datathon/figures/inventory_and_operations/17_cogs_regime_next_month.png,/home/lducc/code/datathon/figures/final_figures/17_cogs_regime_next_month.png,/home/lducc/code/datathon/figures/final_figures/predictive/17_cogs_regime_next_month.png
17,Tỷ trọng doanh thu theo customer-value decile,18_revenue_concentration_by_decile.png,04_customer_and_returns.ipynb,customer_and_returns,predictive,/home/lducc/code/datathon/figures/customer_and_returns/18_revenue_concentration_by_decile.png,/home/lducc/code/datathon/figures/final_figures/18_revenue_concentration_by_decile.png,/home/lducc/code/datathon/figures/final_figures/predictive/18_revenue_concentration_by_decile.png
18,Độ nhạy doanh thu khi churn tăng ở nhóm khách giá trị cao,19_retention_sensitivity_high_value.png,04_customer_and_returns.ipynb,customer_and_returns,predictive,/home/lducc/code/datathon/figures/customer_and_returns/19_retention_sensitivity_high_value.png,/home/lducc/code/datathon/figures/final_figures/19_retention_sensitivity_high_value.png,/home/lducc/code/datathon/figures/final_figures/predictive/19_retention_sensitivity_high_value.png
19,Trade-off doanh thu và GP khi cắt promo âm economics,20_action_tradeoff_scenarios.png,03_inventory_and_operations.ipynb,inventory_and_operations,prescriptive,/home/lducc/code/datathon/figures/inventory_and_operations/20_action_tradeoff_scenarios.png,/home/lducc/code/datathon/figures/final_figures/20_action_tradeoff_scenarios.png,/home/lducc/code/datathon/figures/final_figures/prescriptive/20_action_tradeoff_scenarios.png
20,Thứ tự 5 can thiệp cần làm trước,21_action_priority_ladder.png,03_inventory_and_operations.ipynb,inventory_and_operations,prescriptive,/home/lducc/code/datathon/figures/inventory_and_operations/21_action_priority_ladder.png,/home/lducc/code/datathon/figures/final_figures/21_action_priority_ladder.png,/home/lducc/code/datathon/figures/final_figures/prescriptive/21_action_priority_ladder.png
21,"Dòng hàng hóa, quay vòng và service level theo tháng",11_inventory_flow_turnover_service_level.png,03_inventory_and_operations.ipynb,inventory_and_operations,diagnostic,/home/lducc/code/datathon/figures/inventory_and_operations/11_inventory_flow_turnover_service_level.png,/home/lducc/code/datathon/figures/final_figures/11_inventory_flow_turnover_service_level.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/11_inventory_flow_turnover_service_level.png
22,Doanh thu tập trung ở đâu và promo đang phủ rộng đến mức nào theo RFM,22_rfm_revenue_mix_promo_share.png,04_customer_and_returns.ipynb,customer_and_returns,predictive,/home/lducc/code/datathon/figures/customer_and_returns/22_rfm_revenue_mix_promo_share.png,/home/lducc/code/datathon/figures/final_figures/22_rfm_revenue_mix_promo_share.png,/home/lducc/code/datathon/figures/final_figures/predictive/22_rfm_revenue_mix_promo_share.png
23,Promo không tạo tín hiệu giữ chân ở bất kỳ phân khúc RFM nào,23_rfm_repeat_delta_after_promo.png,04_customer_and_returns.ipynb,customer_and_returns,prescriptive,/home/lducc/code/datathon/figures/customer_and_returns/23_rfm_repeat_delta_after_promo.png,/home/lducc/code/datathon/figures/final_figures/23_rfm_repeat_delta_after_promo.png,/home/lducc/code/datathon/figures/final_figures/prescriptive/23_rfm_repeat_delta_after_promo.png
